siteID,siteName,status,startdate,stopdate,county,state,latitude,longitude,elevation
AB13,Henry Kroeger,A,09/21/2004,NULL,,AB,51.4242,-110.8325,779
OA02,Puerto A'ngel,I,09/28/2004,10/11/2005,Pochutla,OA,15.6500,-96.4833,110
WI10,Potawatomi,A,06/07/2005,NULL,Forest,WI,45.5648,-88.8083,570
NC26,Candor,I,11/08/2005,12/25/2007,Montgomery,NC,35.2632,-79.8365,198
MI31,Sterling Heights,I,09/27/2005,10/28/2008,Macomb,MI,42.5970,-83.0076,187
SC09,Alibi Hunt Club,I,11/08/2005,12/30/2008,Dorchester,SC,33.2307,-80.3602,16
AZ02,Sycamore Canyon,A,02/28/2006,NULL,Coconino,AZ,35.1406,-111.9692,2046
WA03,Makah National Fish Hatchery,A,03/02/2007,NULL,Clallam,WA,48.2892,-124.6519,6
CA94,Converse Flats,A,04/20/2006,NULL,San Bernardino,CA,34.1938,-116.9131,1724
CA20,Yurok Tribe-Requa,A,08/18/2006,NULL,Del Norte,CA,41.5588,-124.0916,110
OK01,McGee Creek,A,10/31/2006,NULL,Atoka,OK,34.3154,-95.8893,195
OK31,Copan,A,10/24/2006,NULL,Washington,OK,36.9081,-95.8823,255
AB14,Genesee,A,07/18/2006,NULL,,AB,53.3016,-114.2016,761
PA19,Centralia,I,05/23/2006,06/26/2007,Columbia,PA,40.7987,-76.3381,485
NV98,Reno,I,10/17/2006,05/27/2008,Washoe,NV,39.5111,-119.7186,1340
SD18,Eagle Butte,A,03/21/2007,NULL,Ziebach,SD,44.9931,-101.2403,742
MD00,Smithsonian Environmental Research Center,A,12/07/2006,NULL,Anne Arundel,MD,38.8890,-76.5558,20
FL97,Everglades-Western Broward County,A,11/08/2006,NULL,Broward,FL,26.1714,-80.8222,4
UT97,Salt Lake City,A,05/16/2007,NULL,Salt Lake,UT,40.7118,-111.9609,1297
OK04,Lake Murray,A,10/30/2007,NULL,Carter,OK,34.1033,-97.0708,245
PA52,Little Pine State Park,A,07/31/2007,NULL,Lycoming,PA,41.3639,-77.3561,228
AK98,Kodiak,A,09/18/2007,NULL,Kodiak Island,AK,57.7189,-152.5617,7
KS03,Reserve,A,01/02/2008,NULL,Brown,KS,38.9792,-95.5681,265
KS24,Glen Elder State Park,A,05/27/2008,NULL,Mitchell,KS,39.5136,-98.3403,456
KS99,Cimarron National Grassland,A,12/30/2008,NULL,Morton,KS,37.1336,-101.8248,1021
ID99,McCall,I,11/19/2007,06/29/2010,Valley,ID,44.8913,-116.1047,1528
AK05,Glacier Bay National Park - Bartlett Cove,A,03/16/2010,NULL,Skagway-Hoonah-Angoon,AK,58.4566,-135.8674,2
OK06,Wichita Mountains NWR,A,11/20/2007,NULL,Comanche,OK,34.7342,-98.7094,492
ID98,Deer Flats,I,03/18/2008,06/29/2010,Canyon,ID,43.5528,-116.6436,774
KS04,West Mineral,A,10/07/2008,NULL,Cherokee,KS,37.2731,-94.9400,274
AK00,Dutch Harbor,A,09/25/2009,NULL,Aleutians West,AK,53.8454,-166.5048,58
NY43,Rochester,A,01/08/2008,NULL,Monroe,NY,43.1463,-77.5481,136
NY06,Bronx,A,01/09/2008,NULL,Bronx,NY,40.8680,-73.8782,68
MN98,Blaine,A,02/05/2008,NULL,Anoka,MN,45.1407,-93.2220,275
AK06,Gates of the Arctic National Park - Bettles,A,11/04/2008,NULL,Yukon-Koyukuk,AK,66.9060,-151.6830,630
KS05,Coffey County Lake,A,12/30/2008,NULL,Coffey,KS,38.1992,-95.6646,NULL
OK19,Pryor,I,03/03/2009,05/26/2009,Mayes,OK,36.2283,-95.2500,188
NM97,Valles Caldera National Preserve,I,03/23/2009,08/03/2011,Sandoval,NM,35.8584,-106.5214,2657
ON99,Egbert Forest,I,04/14/2009,03/07/2010,,ON,44.2339,-79.7917,196
MA99,Amherst,I,09/09/2009,11/02/2010,Hampshire,MA,42.3063,-72.5354,165
BC16,Saturna Island,I,09/01/2009,03/01/2011,,BC,48.7753,-123.1281,196
MS12,Grand Bay NERR,A,03/09/2010,NULL,Jackson,MS,30.4294,-88.4277,2
ON18,Experimental Lakes Area,I,11/24/2009,01/04/2011,,ON,49.6642,-93.7328,432
PQ17,Chapais,I,11/24/2009,03/01/2011,,PQ,49.8225,-74.9753,379
NF19,Stephenville,I,02/23/2010,03/01/2011,,NF,48.5614,-58.5656,62
PA21,Goddard State Park,A,03/30/2010,NULL,Crawford,PA,41.4167,-80.1417,385
MT95,Badger Peak,A,11/02/2010,NULL,Rosebud,MT,45.6335,-106.5501,1312
NM98,Navajo Lake,A,04/21/2009,NULL,Rio Arriba,NM,36.8097,-107.6515,1972
FL96,Pensacola,A,12/28/2010,NULL,Escambia,FL,30.5500,-87.3760,45
AL19,Birmingham,A,12/28/2010,NULL,Jefferson,AL,33.5530,-86.8150,200
NE25,Winnebago,A,11/24/2009,NULL,Thurston,NE,42.2480,-96.4740,360
WY26,Roundtop Mountain,A,12/20/2011,NULL,Fremont,WY,42.5299,-108.7200,2534
